Asset/Liability,Cur,2022,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,2023,Expenses,AVG,Cast
2A - Mr - Extra Mand,F,"3,876","5,815","7,753","9,691","11,629","13,567","15,410","15,549","15,687","15,825","15,963","16,101","18,259","18,259",,,
2A - Mr - Mand,F,"8,165","8,927","9,689","10,451","11,212","11,974","12,891","13,653","14,415","15,177","15,939","16,700","15,503","15,503",,,
Exp Taxes on 2A,F,-783,"-1,032","-1,221","-1,410","-1,599","-1,788","-1,981","-2,044","-2,107","-2,170","-2,233","-2,296","-1,278","-1,278",,,
Deposits,F,"5,002","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,700","4,700","4,700","4,700","4,700",,,
Buoni Postali ITA,E,"16,554","16,689","16,689","16,824","16,824","16,959","16,959","17,094","17,094","17,228","17,228",0,0,0,,,
BSV,D,"75,280","76,210","75,170","76,490","76,640","76,140","75,570","75,680","75,670",0,0,0,0,0,,,
VEMT,E,"44,721","45,202","45,155","44,204","43,769","44,556","44,133","44,180","44,051","43,734","42,970","43,628","44,885","44,885",,,
GHYC,F,"44,786","45,893","45,472","45,454","44,681","44,465","44,564","44,997","45,083","43,218","41,928","43,410","44,640","44,640",,,
AGGS,F,"45,250","45,795","45,028","45,855","45,947","45,500","45,350","45,250","44,946","44,071","43,689","44,102","46,140","46,140",,,
BNDW,D,0,0,0,0,0,"6,868","6,840","6,817","13,578","59,670","59,058","61,227","62,280","62,280",,,
SEGA (EUNH),E,0,0,0,0,0,0,0,0,0,"54,610","54,870","56,430","58,500","58,500",,,
IEBB (ISO6),E,0,0,0,0,0,0,0,0,0,"27,512","27,526","28,238","29,010","29,010",,,
CEBE,E,0,0,0,0,0,0,0,0,0,"10,020","10,060","10,180","10,340","10,340",,,
Crypto,,,,,,,,,,,,,,,,,,
PolkaDot Staking,D,"6,262","9,189","9,377","9,382","8,826","7,944","7,748","7,806","6,615","6,305","6,941","8,553","13,480","13,480",,,
BTC,D,54,75,75,92,95,88,99,95,84,88,112,122,138,138,,,
Private Equity,,,,,,,,,,,,,,,,,,
Roam Research,D,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500",,,
NFT Chain,F,"5,000","5,000","5,000","5,000","5,000","5,000","5,000",500,50,5,1,0,0,0,,,
Business,,,,,,,,,,,,,,,,,,
RIP GmbH Book Value,F,0,0,0,0,0,0,0,0,"24,604","25,709","25,775","27,860","28,734","28,734",,,
RIP UBS - CHF,F,"36,996","51,706","26,264","46,964","48,955","41,042","32,383","40,822",0,0,0,0,0,0,,,
RIP PayPal - CHF,F,656,"5,235","5,197","5,197","5,811","5,739","5,739",0,0,0,0,0,0,0,,,
RIP Credits,F,"19,572","3,000","16,000",0,0,300,"10,900","-4,222",0,"6,103","5,949","12,220","-1,669","-1,669",,,
RIP VAT debts/credits,F,"-4,731","-2,000","-3,000","-4,300","-5,500","-6,500","-6,826","-6,866",0,0,0,0,0,0,,,
RIP AHV debts/credits,F,"-10,520","-12,545","-3,223","-5,248",-377,"1,525",0,-675,0,0,0,0,0,0,,,
RIP BVG debts/credits,F,0,"-2,910","-5,819","-8,729","-11,639","-5,819","-8,728",-970,0,0,0,0,0,0,,,
RIP UVG debts/credits,F,-605,310,154,"1,065",908,752,595,438,0,0,0,0,0,0,,,
RIP Familienzulage credits,F,0,600,"1,200","1,800",600,"1,200",0,600,0,0,0,0,0,0,,,
RIP PayPal - EUR,E,"3,019","3,019","3,019","2,878","2,878","2,808","2,808","2,808",0,0,0,0,0,0,,,
Corporate Tax 2022,F,"-1,019","-1,019","-1,019","-1,019","-1,019",0,0,0,0,0,0,0,0,0,,,
Total Business,,"43,369","45,397","38,772","38,607","40,618","41,047","36,870","31,935","24,604","31,812","31,724","40,080","27,065","27,065",,,
Expected Corp Tax 2023,F,0,"-4,328","-3,019","-2,987","-3,384","-3,468","-2,644","-1,669",-221,"-1,645","-1,627","-3,277",-707,-707,,,
Expected Dividend Tax,F,"-2,337","-2,212","-1,654","-1,640","-1,810","-1,846","-1,494","-1,078",-460,"-1,068","-1,060","-1,764",-668,-668,,,
Cash - Liquidity,,,,,,,,,,,,,,,,,,
BancoPosta Click,E,"3,006","2,780","2,653","4,736","4,682","2,828","2,594","4,309","2,952","2,750","2,415","3,960","3,411","3,411",,,
PostFinance - EUR,E,"5,399","5,400","4,840","4,217","3,438","2,525","2,098","2,581","1,620","1,703","1,788","1,832","1,867","1,867",,,
InteractiveBrokers - EUR,E,"1,084","1,084","1,084",93,93,93,93,"4,950","4,950",40,40,"23,122","33,894","33,894",,,
Revolut - EUR,E,0,0,0,0,0,0,0,0,0,0,300,287,287,287,,,
PayPal - EUR,E,"1,279","1,193","1,193","1,193","1,193","1,193","1,193","1,182","1,182","1,182","1,157","1,157","3,875","3,875",,,
Kraken EUR,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cash Bills - EUR,E,320,320,320,295,95,550,550,155,100,100,200,200,350,350,,,
PostFinance - CHF,F,"68,689","69,711","74,479","72,339","77,212","83,277","89,304","80,944","72,333","78,946","25,388","18,829","14,803","14,803",,,
InteractiveBrokers - CHF,F,"3,499","4,499","7,499","3,003","1,050","4,050","7,050",49,"3,049","4,348","55,421","55,422","55,464","55,464",,,
Revolut - CHF,F,366,239,60,59,659,571,713,713,"1,313","2,301",0,981,948,948,,,
YuH - CHF,F,100,150,150,150,150,0,0,0,0,0,0,0,0,0,,,
PayPal - CHF,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cash Bills - CHF,F,100,35,540,520,730,620,100,20,310,230,630,430,370,370,,,
PostFinance - USD,D,"9,139",921,"1,567","7,084",78,"7,820","8,483",720,44,44,44,44,44,44,,,
InteractiveBrokers - USD,D,"7,464","18,165","4,038","3,411","16,105","6,249","3,925","39,003","16,141","8,159","8,509","1,931",0,0,,,
Taxes,,,,,,,,,,,,,,,,,,
Exp Tax 2021,F,"8,163","6,755",0,0,0,0,0,0,0,0,0,0,0,0,,,
Exp Tax 2022,F,"-5,619","-5,619","1,234","10,285","10,285","10,285","7,297","5,446","5,446","5,446","5,446","5,446","5,446","5,446",,,
US With. Tax Credit 2022,D,"3,691","3,691","3,691",0,0,0,0,0,0,0,0,0,0,0,,,
Exp Pillar 1 GaU 2022,F,-663,-663,-663,-663,-663,-663,-663,-663,-663,-663,0,0,0,0,,,
Exp Income Tax 2023,F,0,"-1,773","-3,524","-5,852","-8,294","-10,317","-13,371","-14,756","-15,891","-17,034","-17,636","-18,198","-21,331","-21,331",,,
Exp Pillar 1 GaU 2023,F,0,-404,-747,"-1,283","-1,731","-2,383","-3,165","-3,552","-4,178","-4,184","-3,630","-3,657","-3,139","-3,139",,,
Exp Wealth Tax 2023,F,0,-197,-393,-585,-784,-984,"-1,211","-1,422","-1,601","-1,814","-1,964","-2,215","-2,450","-2,450",,,
Tax Paid 2023,F,0,0,0,0,0,0,0,0,0,0,0,0,"13,446","13,446",,,
US With. Tax Credit 2023,D,0,0,19,621,642,663,"2,063","2,087","2,115","3,082","3,102","3,123","4,675","4,675",,,
Other,,,,,,,,,,,,,,,,,,
Cembra Certo Mastercard,F,"-2,408","-2,832","-4,004","-3,299","-2,504","-1,643","-2,538","-1,099","-3,146","-2,843","-1,879","-1,768","-1,801","-1,801",,,
Finpension Referral Credits,F,"3,195",85,"1,185","1,202","1,272","1,332","1,357","2,576","2,599","2,618","2,688","2,714","2,782","2,782",,,
Red Credits,F,"1,404","2,966","1,698","3,780","2,781","2,103","1,979","2,055","1,093",0,0,0,0,0,,,
Other - CHF,F,"-1,242",-230,370,"1,085",40,"1,120","1,120","5,328","10,809","1,130","2,075","2,060","1,000","1,000",,,
Purple Credits,D,708,665,615,817,746,667,646,624,431,0,0,0,0,0,,,
Other - USD,D,0,232,"2,333",0,0,324,"7,084","6,632",333,0,0,63,215,215,,,
Amazon Credits,E,70,94,91,134,176,92,89,123,166,131,70,92,113,113,,,
Fantasia Credits,E,0,0,0,0,24,59,59,65,65,70,78,82,98,98,,,
Other - EUR,E,"1,000","1,000",0,-720,0,0,0,"-3,410","-1,050",0,0,0,0,0,,,
Extras,,,,,,,,,,,,,,,,,,
Pillar 1 Pension,F,"108,327","130,248","130,579","130,911","131,243","131,577","131,911","132,246","132,583","132,919","133,257","133,596","133,936","133,936",,,
Boardgames,F,"5,544","5,544","5,544","5,544","6,544","6,789","6,789","6,789","6,789","6,789","7,034","7,189","7,649","7,649",,,
,,,,,,,,,,,,,,,,,,
NW (EUR),E,"1,713,369","1,807,868","1,804,243","1,801,741","1,825,190","1,857,246","1,898,891","1,944,765","1,925,227","1,907,115","1,866,188","1,942,192","2,024,189","2,024,189",,,2024189
NW Change,,-,"94,499","-3,625","-2,502","23,449","32,056","41,645","45,875","-19,539","-18,111","-40,927","76,004","81,996","310,819",,25902,310819
Change %,,-,5.52%,-0.20%,-0.14%,1.30%,1.76%,2.24%,2.42%,-1.00%,-0.94%,-2.15%,4.07%,4.22%,18.14%,,1.40%,16.79%
NW (CHF),F,"1,699,149","1,799,170","1,797,612","1,788,311","1,799,291","1,807,665","1,856,324","1,869,325","1,843,900","1,848,472","1,795,749","1,850,665","1,879,492","1,879,492",,,1879492
NW Change,,-,"100,021","-1,558","-9,301","10,979","8,374","48,659","13,001","-25,425","4,572","-52,723","54,916","28,827","180,343",,15029,180343
Change %,,-,5.89%,-0.09%,-0.52%,0.61%,0.47%,2.69%,0.70%,-1.36%,0.25%,-2.85%,3.06%,1.56%,10.61%,,0.84%,10.13%
NW (USD),D,"1,837,846","1,963,892","1,908,859","1,953,503","2,014,398","1,985,303","2,073,874","2,144,604","2,087,278","2,018,968","1,973,886","2,114,562","2,234,960","2,234,960",,,2234960
NW Change,,-,"126,047","-55,033","44,644","60,895","-29,095","88,571","70,730","-57,326","-68,310","-45,082","140,676","120,398","397,114",,33093,397114
Change %,,-,6.86%,-2.80%,2.34%,3.12%,-1.44%,4.46%,3.41%,-2.67%,-3.27%,-2.23%,7.13%,5.69%,21.61%,,1.64%,19.72%
NW (BTC),BTC,110.99,84.95,82.18,68.79,68.67,73.20,68.10,73.45,80.43,74.63,57.13,55.95,52.45,52.45,,,52.45
NW Change,,-,-26.05,-2.77,-13.39,-0.12,4.53,-5.10,5.36,6.97,-5.80,-17.49,-1.18,-3.50,-58.55,,-4.88,-58.55
Change %,,-,-23.47%,-3.26%,-16.30%,-0.17%,6.60%,-6.97%,7.87%,9.50%,-7.22%,-23.44%,-2.07%,-6.26%,-52.75%,,-6.06%,-72.68%
Reverse Elon Musk,REM,"97,941","91,655","94,297","92,142","89,357","121,896","116,690","112,841","115,940","119,863","122,601","114,445","108,279","108,279",,,
,,,,,,,,,,,,,,,,,,
Finance,,,,,,,,,,,,,,,,YTD,Last M,
VT,D,86.19,92.78,89.83,92.09,93.40,92.27,96.98,100.59,97.73,93.18,90.46,98.61,102.88,102.88,19.4%,4.33%,
VYM,D,108.21,110.77,106.88,105.50,106.84,101.36,106.07,110.33,107.69,103.32,100.45,106.74,111.63,111.63,3.2%,4.58%,
NASDAQ:VYMI,D,59.57,64.30,62.16,61.95,64.13,61.07,63.20,65.96,63.25,61.89,60.03,64.22,66.49,66.49,11.6%,3.53%,
NYSEARCA:ERUS,D,0.040,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0%,0.00%,
NYSEARCA:VTV,D,140.37,144.28,139.61,138.11,140.56,134.77,142.10,147.01,143.51,137.93,134.29,143.26,149.50,149.50,6.5%,4.36%,
NYSEARCA:VSS,D,102.81,111.82,108.30,109.24,110.96,107.08,110.48,115.93,111.49,106.20,100.99,110.45,115.03,115.03,11.9%,4.15%,
NYSEARCA:VBR,D,158.80,173.21,169.30,158.76,157.24,151.86,165.40,174.39,168.45,159.49,151.77,164.91,179.97,179.97,13.3%,9.13%,
NYSE:SONY,D,76.28,89.46,83.58,90.65,89.67,93.70,90.04,93.60,83.19,82.41,83.05,85.95,94.69,94.69,24.1%,10.17%,
NASDAQ:INTC,D,26.43,28.26,24.93,32.67,31.06,31.44,33.44,35.77,35.14,35.55,36.50,44.73,50.25,50.25,90.1%,12.34%,
NASDAQ:CHEK,D,2.200,3.050,3.300,1.430,1.360,1.500,2.860,3.490,2.910,4.330,3.480,2.910,2.080,2.080,-5.5%,-28.52%,
NYSEARCA:BSV,D,75.28,76.21,75.17,76.49,76.64,76.14,75.57,75.68,75.67,75.17,75.02,76.17,77.02,77.02,2.3%,1.12%,
AMS:VEMT,E,38.06,38.47,38.43,37.62,37.25,37.92,37.56,37.60,37.49,37.22,36.57,37.13,38.20,38.20,0.4%,2.88%,
GHYC,F,72.47,74.26,73.58,73.55,72.30,71.95,72.11,72.81,72.95,72.03,69.88,72.35,74.40,74.40,2.7%,2.83%,
SWX:AGGS,F,4.525,4.580,4.503,4.586,4.595,4.550,4.535,4.525,4.495,4.407,4.369,4.410,4.614,4.614,2.0%,4.62%,
NASDAQ:BNDW,D,67.47,68.94,67.34,68.98,69.14,68.68,68.40,68.17,67.89,66.30,65.62,68.03,69.20,69.20,2.6%,1.72%,
BIT:SEGA,E,106.94,-,-,-,-,-,-,-,107.79,105.02,105.52,108.52,112.50,112.50,5.2%,3.67%,
BIT:IEBB,E,4.53,-,-,-,-,-,-,-,4.570,4.548,4.550,4.668,4.795,4.795,5.8%,2.73%,
BIT:CEBE,E,-,-,-,-,-,-,-,-,5.000,5.010,5.030,5.090,5.170,5.170,3.4%,1.57%,
,,,,,,,,,,,,,,,,,,
EURCHF,,0.992,0.995,0.997,0.992,0.986,0.973,0.978,0.960,0.958,0.969,0.962,0.953,0.929,0.929,-6.3%,-2.52%,
EURUSD,,1.073,1.086,1.058,1.084,1.104,1.069,1.092,1.104,1.084,1.059,1.058,1.089,1.104,1.104,2.9%,1.38%,
USDCHF,,0.925,0.916,0.942,0.915,0.893,0.911,0.895,0.872,0.883,0.916,0.910,0.875,0.841,0.841,-9.0%,-3.92%,
,,,,,,,,,,,,,,,,,,
INDEXSWX:ARDOT,,4.32,6.29,6.39,6.35,5.93,5.30,5.12,5.12,4.30,4.07,4.45,5.44,8.52,8.52,97.2%,56.6%,
BTCUSD,,16558,23119,23228,28400,29336,27122,30454,29196,25952,27055,34550,37794,42615,42615,157.4%,12.8%,
,,,,,,,,,,,,,,,,,,
EM to BUSD,,180,180,180,180,180,242,242,242,242,242,242,242,242,242,34.4%,0.0%,
,,,,,,,,,,,,,,,,,,
Simple,,,,,,,,,,,,,,,,,,
Stocks,E,"1,199,298","1,267,009","1,272,393","1,264,335","1,278,688","1,290,672","1,331,591","1,363,221","1,372,218","1,303,306","1,261,985","1,325,552","1,373,720","1,373,720",,,
Bonds,E,"237,615","243,720","245,758","248,231","249,344","261,907","261,334","264,278","272,702","334,895","333,931","324,291","337,752","337,752",,,
Crypto,E,"5,888","8,528","8,936","8,738","8,083","7,514","7,184","7,158","6,179","6,038","6,668","7,968","12,338","12,338",,,
Private Equities,E,"6,440","6,405","6,435","6,421","6,431","6,540","6,488","1,880","1,436","1,422","1,419","1,378","1,359","1,359",,,
Business,E,"41,350","39,029","34,205","34,217","35,893","36,636","33,419","30,277","24,978","30,023","30,176","36,771","27,659","27,659",,,
Cash,E,"99,930","103,339","98,401","96,863","105,114","111,299","117,284","134,270","106,135","102,072","98,620","111,775","120,795","120,795",,,
Taxes,E,"5,338","1,488",-599,"2,489",-622,"-3,553","-9,478","-13,673","-15,681","-15,916","-15,550","-16,678","-4,408","-4,408",,,
Other,E,"2,687","1,909","2,125","2,956","2,488","4,070","9,187","12,577","11,740","1,134","3,145","3,387","2,540","2,540",,,
Extras,E,"114,824","136,440","136,589","137,492","139,771","142,161","141,881","144,776","145,521","144,141","145,794","147,748","152,434","152,434",,,
,,,,,,,,,,,,,,,,,,
Cash Flow,,,,,,,,,,,,,,,,,,
GaU - Sole Proprietorship,,,,,,,,,,,,,,,,,,
Finpension Affiliate,F,,85,"1,125",17,70,60,24,"1,219",23,19,70,26,68,"2,808",,,
Amazon Affiliate,E,,52,39,95,43,49,40,83,83,47,23,70,43,667,,,
Fantasia Affiliate,E,,0,0,0,24,35,0,6,0,5,9,4,16,98,,,
IB Affiliate,D,,"1,082","1,944","2,963","7,195","6,988","7,084","6,632","6,532",0,0,200,400,"41,019",,,
"Others (TV, Donations,...)",F,,60,0,5,394,0,94,18,9,0,0,0,0,581,,,
Red Thing,F,,"2,966","1,698","3,780","2,781","2,103","1,979","2,055","1,093",0,0,0,0,"18,454",,,
Purple Thing,D,,665,615,817,746,667,646,624,431,0,0,0,0,"5,210",,,
GaU costs,F,,-697,"-1,814","-1,961",-738,"-2,647","-1,190",-635,"-1,061",0,-513,0,-513,"-11,769",,,
Self Employment,,,,,,,,,,,,,,,,,,
GaU Total Income,F,,"4,066","3,458","5,395","9,667","6,568","7,865","9,068","6,293",69,-413,271,-53,"52,255",,,
Expected Pillar 1,F,,-404,-344,-536,-960,-652,-781,-901,-625,-7,41,-27,5,"-5,191",,,
Employment,,,,,,,,,,,,,,,,,,
RIP GmbH - Mr Salary,F,,"13,223","13,223","13,223","13,223","13,223","13,223","4,700","4,700","4,700","4,700","4,700","20,693","123,530",,,
Financial,,,,,,,,,,,,,,,,,,
Dividends USD,D,,0,362,"4,466",328,138,"9,806",373,495,"6,690",369,465,"10,849","34,340",,,
Dividends CHF,F,,0,0,0,"1,039",0,0,0,0,0,"1,073",2,42,"2,156",,,
Dividends EUR,E,,0,0,0,0,0,0,0,0,0,0,0,27,27,,,
Taxes,,,,,,,,,,,,,,,,,,
Expected Income Tax,F,,"-1,773","-1,751","-2,328","-2,442","-2,023","-3,054","-1,385","-1,135","-1,143",-602,-562,"-3,133","-21,331",,,
Pensions,,,,,,,,,,,,,,,,,,
Pillar 2 - Mr Mand,F,,762,762,762,762,762,762,762,762,762,762,762,762,"9,142",,,
Pillar 2 - Mr Extra,F,,"1,938","1,938","1,938","1,938","1,938","1,938",138,138,138,138,138,138,"12,458",,,
Exp Tax on TDA,F,,-189,-189,-189,-189,-189,-189,-63,-63,-63,-63,-63,-63,"-1,512",,,
,,,,,,,,,,,,,,,,,,
Income,F,,"17,688","17,596","22,410","23,329","19,803","28,707","12,692","10,507","11,262","6,088","5,644","27,755","203,482",,16957,203482
Spending,F,,"9,394","9,470","9,185","8,173","7,318","10,510","11,042","9,757","8,149","9,155","10,475","10,065","112,693",,9391,112693
Saving,F,,"8,294","8,126","13,225","15,157","12,485","18,197","1,650",751,"3,114","-3,067","-4,832","17,690","90,789",,7566,90789
%,F,,46.9%,46.2%,59.0%,65.0%,63.0%,63.4%,13.0%,7.1%,27.6%,-50.4%,-85.6%,63.7%,44.6%,,,
,,,,,,,,,,,,,,,,,,
FIRE (IDEAL),,,,,,,,,,,,,,,,,,
Monthly Target Allowance,E,"4,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",,,
Yearly Target Allowance,E,"54,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000",,,
FU Number,E,"1,800,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",,,
Desired WR,,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,,,
Progress (FI%),,94.88%,90.39%,90.21%,90.09%,91.26%,92.86%,94.94%,97.24%,96.26%,95.36%,93.31%,97.11%,101.21%,101.21%,,,
,,,,,,,,,,,,,,,,,,
Months Left,,3,15,16,25,16,11,6,4,5,5,12,5,-1,-1,,,
Fire Date,,3/2023,4/2024,6/2024,4/2025,8/2024,4/2024,12/2023,11/2023,1/2024,2/2024,10/2024,4/2024,11/2023,11/2023,,,
Coast Date,,10/2024,7/2026,8/2026,10/2026,6/2026,12/2025,4/2025,7/2024,12/2024,5/2025,3/2026,11/2024,7/2023,7/2023,,,
,,,,,,,,,,,,,,,,,,
Yearly Current Allowance,E,"51,233","54,236","54,127","54,052","54,756","55,717","56,967","58,343","57,757","57,213","55,986","58,266","60,726","60,726",,,
Monthly Current Allowance,E,"4,269","4,520","4,511","4,504","4,563","4,643","4,747","4,862","4,813","4,768","4,665","4,855","5,060","5,060",,,
Daily Current Allowance,E,140.37,148.59,148.29,148.09,150.02,152.65,156.07,159.84,158.24,156.75,153.39,159.63,166.37,166,,,
,,,,,,,,,,,,,,,,,,
Current WR (Ideal),,3.16%,3.32%,3.33%,3.33%,3.29%,3.23%,3.16%,3.09%,3.12%,3.15%,3.22%,3.09%,2.96%,2.96%,,,
Years Of Expenses (Ideal),,31.6,30.1,30.1,30.0,30.4,31.0,31.6,32.4,32.1,31.8,31.1,32.4,33.7,33.7,,,
,,,,,,,,,,,,,,,,,,
to generate 1 EUR x Year,E,33.3,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33,,,
to generate 1 EUR x Month,E,400,400,400,400,400,400,400,400,400,400,400,400,400,400,,,
to generate 1 EUR x Day,E,"12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167",,,
,,,,,,,,,,,,,,,,,,
FIRE (CURRENT),,,,,,,,,,,,,,,,,,
Current Yearly Expenditure,F,"102,736","104,294","106,245","108,198","108,224","107,769","110,702","111,051","107,540","107,476","107,567","110,797","112,693","112,693",,,
FU Number,F,"3,271,854","3,476,470","3,541,507","3,606,591","3,607,452","3,592,315","3,690,064","3,701,707","3,584,673","3,582,550","3,585,583","3,693,235","3,756,431","3,756,431",,,
Desired WR,,3.14%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,,,
Progress (FI%),,51.93%,51.75%,50.76%,49.58%,49.88%,50.32%,50.31%,50.50%,51.44%,51.60%,50.08%,50.11%,50.03%,50.03%,,,
,,,,,,,,,,,,,,,,,,
Months Left,,79,261,217,459,336,339,115,144,162,89,265,217,125,125,,,
Fire Date,,7/2029,10/2044,3/2041,6/2061,4/2051,8/2051,1/2033,7/2035,2/2037,2/2031,11/2045,12/2041,5/2034,5/2034,,,
,,,,,,,,,,,,,,,,,,
Yearly Current Allowance,F,"53,353","53,975","53,928","53,649","53,979","54,230","55,690","56,080","55,317","55,454","53,872","55,520","56,385","56,385",,,
Monthly Current Allowance,F,"4,446","4,498","4,494","4,471","4,498","4,519","4,641","4,673","4,610","4,621","4,489","4,627","4,699","4,699",,,
Daily Current Allowance,F,146.17,147.88,147.75,146.98,147.89,148.58,152.57,153.64,151.55,151.93,147.60,152.11,154.48,154,,,
,,,,,,,,,,,,,,,,,,
Current WR (Real),,6.05%,5.80%,5.91%,6.05%,6.01%,5.96%,5.96%,5.94%,5.83%,5.81%,5.99%,5.99%,6.00%,6.00%,,,
Years Of Expenses (Real),,16.5,17.3,16.9,16.5,16.6,16.8,16.8,16.8,17.1,17.2,16.7,16.7,16.7,16.7,,,
,,,,,,,,,,,,,,,,,,
CONSTANTS,,,,,,,,,,,,,,,,,,
Tax Percent on Income,,,10.50%,,,,,,,,,,,,,,,
Tax Percent on Wealth,,,0.18%,,,,,,,,,,,,,,,
Tax Percent on TDAs,,,7.00%,,,,,,,,,,,,,,,
Pillar 1 Contribution GmbH,,,13.50%,,,,,,,,,,,,,,,
Pillar 1 Contribution GaU,,,9.93%,,,,,,,,,,,,,,,
Pillar 2 Contribution,F,,"2,910",,,,,,,,,,,,,,,
Pillar 2 Savings,F,,"2,700",,,,,,,,,,,,,,,
Pillar 2 Mandatory Limit,F,,,,,,,,,,,,,,,,,
Initial RIP GmbH Balance,F,,"20,000",,,,,,,,,,,,,,,
Corporate Tax Rate,,,19.75%,,,,,,,,,,,,,,,
2022 RIP GmbH NW,F,,"23,485",,,,,,,,,,,,,,,
Year,,,2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
month #,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,
